Business Name,Address of establishment,Town,Type of cuisine,Average price,Business hours,Average rating,Number of reviews,Date of last rating,Position in the ranking,Minimum Price,Maximum Price,Month,Year Of Rating,Price Range,Rating Label
Hangzhou,"Calle del Maestro Clave 10 Junto al teatro Olimpia, 46001, Valencia Spain",Sant Francesc,"Chinese, Asian",9.91 - 29.73,"Sun - Sat : 1:00 PM - 4:00 PM
Tue - Sun : 8:00 PM - 12:00 AM",2.5,50,"December 31, 2021",89,9.91,29.73,December 31, 2021,Cheap,Poor
TACOLIA BISTROBAR CÁNOVAS,"Calle Conde de Altea 12, 46005, Valencia Spain",La Gran Via,"Mexican, Mediterranean, Spanish",5.95 - 9.91,"Sun : 10:00 AM - 12:00 AM
Mon - Wed : 8:00 AM - 12:00 AM
Thu - Fri : 8:00 AM - 1:30 AM
Sat : 10:00 AM - 1:30 AM",2.0,2,"April 7, 2015",57,5.95,9.91,April 7, 2015,Cheap,Poor
Café Abencerrajes,"Calle de los Reyes Católicos 67, 18010 Granada Spain", Royal Chapel of Granada,"European, Middle Eastern",1.98 - 13.88,Sun - Sat : 7:00 AM - 12:00 AM,5.0,9,"November 20, 2021",40,1.98,13.88,November 20, 2021,Cheap,Excellent
Goja Rooftop Experience,"Pau Claris, 122 Renaissance Barcelona Hotel, 08009 Barcelona Spain",Eixample,"Bar, Mediterranean, Spanish, Pub, Beer restaurants",14.87 - 49.56,Sat - Sun : 1:00 PM - 5:00 PM,4.0,5,"October 9, 2021",667,14.87,49.56,October 9, 2021,Average,Excellent
Kalso,"Guardia 10, 08001 Barcelona Spain",El Raval,"Spanish, Contemporary, Fusion",4.96 - 14.87,"Sun : 1:00 PM - 8:00 PM
Tue - Thu : 5:00 PM - 11:00 PM
Fri : 5:00 PM - 12:00 AM
Sat : 1:00 PM - 12:00 AM",5.0,1 review,"May 13, 2018","3,430",4.96,14.87,May 13, 2018,Cheap,Excellent
Arroceria Maese Pio,"Placeta del Pulgar 1, 18001 Granada Spain",Centro - Sagrario,"International, Mediterranean, European, Spanish",8.92 - 34.69,"Mon : 12:00 AM - 4:30 PM
Mon - Wed : 8:00 PM - 4:30 PM
Thu - Sat : 8:00 PM - 12:00 AM
Fri - Sun : 12:00 PM - 4:00 PM",3.5,282,"October 26, 2021",29,8.92,34.69,October 26, 2021,Cheap,Average
Pizzería La Revuelta,"Calle Sanchica S/n Plaza, 18008 Granada Spain", The Alhambra,"Italian, Pizza, Dining bars",6.94 - 14.87,Sun - Sat : 8:00 PM - 12:00 AM,5.0,1 review,"May 16, 2021",85,6.94,14.87,May 16, 2021,Cheap,Excellent
Al lio,"Trinidad morcillo 3 Local 8, 18002 Granada Spain",Camino de Ronda,"Steakhouse, Mediterranean, Spanish",9.91 - 49.56,"Sun - Sat : 12:00 PM - 5:00 PM
Mon - Sat : 8:00 PM - 12:00 AM",5.0,22,"December 23, 2019",24,9.91,49.56,December 23, 2019,Cheap,Excellent
Restaurante El Ladrillo II,"Calle Panaderos 35 Albayzin, 18010 Granada Spain",Albaicin,"Mediterranean, Spanish",5.95 - 19.82,"Mon - Tue : 12:00 PM - 5:00 PM
Fri - Tue : 8:00 PM - 12:00 AM
Fri : 12:00 PM - 5:00 PM
Sat - Sun : 11:30 AM - 5:00 PM",3.5,235,"January 7, 2022",346,5.95,19.82,January 7, 2022,Cheap,Average
La Juanola,"Providencia 41, 08024 Barcelona Spain",Gracia,Healthy,8.92 - 17.84,"Mon - Fri : 9:00 AM - 4:00 PM
Sat : 11:00 AM - 4:00 PM",5.0,5,"June 22, 2018",485,8.92,17.84,June 22, 2018,Cheap,Excellent
La Cucina di Alessandra,"Camino de Ronda 52 Camino de Ronda 52, 18004 Granada Spain",Centro - Sagrario,"Italian, Mediterranean",3.96 - 5.95,Sun - Sat : 12:15 PM - 4:00 PM,5.0,9,"August 23, 2021",59,3.96,5.95,August 23, 2021,Cheap,Excellent
Golden Chicken,"Plaza del Sol y Luna 3, 18007 Granada Spain",Zaidin - Vergeles,American,4.96 - 9.91,"Mon - Thu : 1:00 PM - 4:30 PM,  8:00 PM - 12:00 PM
Fri - Sun : 1:00 PM - 12:00 PM",5.0,5,"August 13, 2018",16,4.96,9.91,August 13, 2018,Cheap,Excellent
Taverna Cal Tito,"Calle Aulestia i Pijoan, núm 6-A, 08012 Barcelona Spain",Gracia,Spanish,6.94 - 19.82,"Tue - Thu : 9:00 AM - 8:00 PM
Fri : 9:00 AM - 11:00 PM
Sat - Sun : 11:00 AM - 11:00 PM",4.0,1 review,"May 2, 2019","3,566",6.94,19.82,May 2, 2019,Cheap,Excellent
WTC Club Meet & Eat,"Moll de Barcelona, s/n, 08039 Barcelona Spain",Port Vell (Old Port),Mediterranean,21.27 - 44.33,Mon - Fri : 9:00 AM - 6:00 PM,3.5,18,"May 11, 2018","5,468",21.27,44.33,May 11, 2018,Average,Average
Gelats Dino,"Carrer Blai 13 Barrio Pobre Sec, Cerca de la Avenida Paralel, 08004 Barcelona Spain",Sants-Montjuic,Italian,1.98 - 15.86,"Fri : 12:30 PM - 1:30 AM
Sat - Thu : 12:30 PM - 12:30 AM",4.0,55,"September 18, 2018",123,1.98,15.86,September 18, 2018,Cheap,Excellent
Subarashi Sushi,"Avenida del Doctor Oloriz , 14 18012 Granada Restaurante Subarashi Sushi, 18012 Granada Spain", Albayzin,"Japanese, Sushi",4.96 - 19.82,"Sun - Sat : 1:30 PM - 4:30 PM,  7:30 PM - 11:30 PM",4.5,79,"May 21, 2021",21,4.96,19.82,May 21, 2021,Cheap,Excellent
El Caliu de l'Eixample,"C/ Valencia 329, 08009 Barcelona Spain",Eixample,"Steakhouse, Barbecue, Spanish, Grill",12.41 - 38.12,"Tue - Sun : 1:00 PM - 4:00 PM,  8:00 PM - 12:00 AM",3.0,144,"May 25, 2019","5,736",12.41,38.12,May 25, 2019,Average,Average
Meson La Loma,"Calle Alayos 1, 18006 Granada Spain",Zaidin - Vergeles,"American, Spanish, Mediterranean",4.96 - 9.91,Mon - Sat : 7:30 AM - 11:59 PM,4.0,12,"August 9, 2016",14,4.96,9.91,August 9, 2016,Cheap,Excellent
Los Manueles,"Calle Monjas del Carmen, 1, 18009 Granada Spain",Realejo - San Matias,"Spanish, Mediterranean",5.95 - 24.78,"Mon - Fri : 7:00 AM - 12:00 AM
Sat - Sun : 8:00 AM - 12:00 AM",3.5,72,"October 26, 2020",390,5.95,24.78,October 26, 2020,Cheap,Average
Contreras Selectos,"Paseo Salon 8, 18009 Granada Spain",Realejo - San Matias,"Spanish, Mediterranean, Deli, Wine Bar",9.91 - 39.65,"Mon - Sat : 10:00 AM - 3:00 PM,  5:30 PM - 9:00 PM",4.5,13,"January 14, 2016",6,9.91,39.65,January 14, 2016,Cheap,Excellent
El Rincón Del Gallego,"Avenida de Don Bosco 46 En frente merca80, 18007 Granada Spain",Zaidin - Vergeles,"Spanish, Cafe",1.98 - 7.93,"Mon - Fri : 7:30 AM - 11:30 PM
Sat : 8:30 AM - 5:00 PM",5.0,2,"June 5, 2019",130,1.98,7.93,June 5, 2019,Cheap,Excellent
Coco House,"Carrer Meer, 52, 08002 Barcelona Spain",Barceloneta,"Mediterranean, European, Healthy, Venezuelan, South American",3.96 - 9.91,"Mon - Fri : 9:00 AM - 9:00 PM
Sat - Sun : 8:00 AM - 10:00 PM",5.0,9,"January 2, 2021","2,116",3.96,9.91,January 2, 2021,Cheap,Excellent
Nostrum Pau Claris,"137 Carrer de Pau Claris, 08009 Barcelona Spain",Eixample,"Fast Food, Spanish, Healthy",1.98 - 7.93,"Mon - Fri : 8:00 AM - 8:00 PM
Sat : 12:00 PM - 4:00 PM",3.5,6,"March 9, 2018",375,1.98,7.93,March 9, 2018,Cheap,Average
Spaghetti & Blues,"Avinguda de la Mare Nostrum 34, 46120, Valencia Spain", Puerto de Valencia,Welsh,9.91 - 29.73,Sun - Sat : 12:00 PM - 12:00 AM,3.0,314,"March 3, 2020",2,9.91,29.73,March 3, 2020,Cheap,Average
Brisa Palau de Mar,"Plaça Pau Vila, 1 Building Palau de Mar, 08039 Barcelona Spain",Port Vell (Old Port),"Mediterranean, Spanish",24.78 - 39.65,"Mon - Wed : 12:00 PM - 7:00 PM
Thu - Sun : 12:00 PM - 1:00 AM",3.5,56,"October 31, 2021","2,382",24.78,39.65,October 31, 2021,Average,Average
Dulce de Leche Av. Francia,"Av. Francia 8, 46023, Valencia Spain", Oceanografic Valencia,"Cafe, Spanish",4.96 - 9.91,"Wed : 8:30 AM - 9:00 PM
Thu - Tue : 8:30 AM - 9:30 PM",3.5,22,"August 22, 2021",103,4.96,9.91,August 22, 2021,Cheap,Average
atmans coffee,"Morales 27, 08029 Barcelona Spain",Les Corts,"Deli, Healthy",1.98 - 14.87,Mon - Sat : 9:00 AM - 6:00 PM,4.5,10,"January 2, 2017",270,1.98,14.87,January 2, 2017,Cheap,Excellent
Tento Valencia,"Calle València, 340, 08009 Barcelona Spain",Eixample,"Mediterranean, Spanish",0.02 - 0.05,"Sun : 10:00 AM - 4:00 PM
Mon - Fri : 12:00 PM - 9:00 PM
Sat : 10:00 AM - 5:00 PM",5.0,4,"January 7, 2020","2,713",0.02,0.05,January 7, 2020,Cheap,Excellent
Pupu Poké,"Calle de San Isidro 15 Esquina con c/ duende 8, 18005 Granada Spain",Realejo - San Matias,"Healthy, Hawaiian, Japanese",2.98 - 10.9,"Sun - Sat : 12:00 PM - 5:00 PM,  7:30 PM - 11:30 PM",4.0,64,"June 16, 2019",28,2.98,10.9,June 16, 2019,Cheap,Excellent
Döner Shawarma Xpress Kebab,"Calle Mulhacen No 25, 18005 Granada Spain",Figares,"Turkish, Arabic",1.98 - 4.96,"Tue - Sun : 1:00 PM - 5:00 PM,  8:00 PM - 12:00 AM",5.0,7,"January 7, 2022",1,1.98,4.96,January 7, 2022,Cheap,Excellent
Restaurante Brinas,"Plaza Bib 16, 18001 Granada Spain",Centro - Sagrario,"Spanish, European, Bar, Soups",0.02 - 0.1,Tue - Sun : 12:00 PM - 11:30 PM,3.5,209,"January 10, 2020",96,0.02,0.1,January 10, 2020,Cheap,Average
El Patio de Arriola,"Calle Arriola 14, 18001 Granada Spain",Centro - Sagrario,"International, Italian, Mediterranean, Spanish, Soups",9.91 - 11.89,Sun - Sat : 9:00 AM - 5:00 PM,4.5,19,"April 12, 2019",48,9.91,11.89,April 12, 2019,Cheap,Excellent
Bongo,"Plaza Isabel La Católica, 2 Esquina Con Calle Sancti Spiritus, 18009 Granada Spain", Royal Chapel of Granada,"Cafe, Mediterranean, Pub, Fusion, Gastropub",13.3 - 31.03,"Sun : 1:00 PM - 12:00 AM
Mon - Thu : 8:00 AM - 12:00 AM
Fri : 8:00 AM - 3:00 AM
Sat : 10:00 AM - 3:00 AM",4.5,9,"January 22, 2022",74,13.3,31.03,January 22, 2022,Average,Excellent
La Trattoria D'Mia,"calle Reñidero Nº 6 Bajo 1, 18005 Granada Spain",Realejo - San Matias,"Italian, Pizza",2.98 - 8.92,"Tue - Wed : 8:00 AM - 12:00 PM
Thu - Sun : 8:00 AM - 4:00 PM",5.0,5,"June 25, 2020",71,2.98,8.92,June 25, 2020,Cheap,Excellent
Amazonia Fine Food,"Carrera del Darro 37, 18010 Granada Spain", Mirador de San Nicolas,"Thai, International, Fusion, Arabic, Japanese Fusion",17.73 - 44.33,"Wed - Sun : 12:30 PM - 4:00 PM,  8:00 PM - 12:00 AM",4.5,12,"December 10, 2021",34,17.73,44.33,December 10, 2021,Average,Excellent
Futbar Granada,"Calle del Pintor Manuel Maldonado 28 en frente del Estadio de los Cármenes, 18007 Granada Spain",Zaidin - Vergeles,"Italian, Cafe, Seafood, Mediterranean",1.98 - 17.84,Tue - Sun : 10:00 AM - 11:45 PM,3.0,6,"February 23, 2020",93,1.98,17.84,February 23, 2020,Cheap,Average
Anca La Bibi,"Carrera del Darro 3, 18010 Granada Spain",Albaicin,Spanish,1.98 - 991.2,"Sun - Thu : 10:00 AM - 10:00 PM
Fri - Sat : 10:00 AM - 11:00 PM",4.5,12,"June 17, 2019",477,1.98,991.2,June 17, 2019,Cheap,Excellent
Papas Zarco,"Avenida de Don Bosco 35 Callejón Bolonia 2, 18007 Granada Spain",Zaidin - Vergeles,"American, Fast Food, Mediterranean, Spanish, Grill",2.98 - 14.87,"Thu - Sun : 1:00 PM - 4:00 PM
Thu - Tue : 6:30 PM - 11:45 PM",5.0,1 review,"November 1, 2021",23,2.98,14.87,November 1, 2021,Cheap,Excellent
El Balcon de San Nicolas,"Calle Atarazana Vieja 4 Barrio del Albaicín, 18010 Granada Spain",Albaicin,"Mediterranean, Spanish",26.59 - 44.33,Sun - Sat : 11:00 AM - 10:00 PM,3.5,720,"November 16, 2021",394,26.59,44.33,November 16, 2021,Average,Average
4 Latas Tuset,"Calle Tuset 10, 08006 Barcelona Spain",Gracia,"Mediterranean, Spanish, Catalan",9.91 - 24.78,"Sun - Wed : 12:00 PM - 12:30 AM
Thu : 12:00 PM - 1:00 AM
Fri - Sat : 12:00 PM - 2:30 AM",4.0,4,"October 6, 2021","3,082",9.91,24.78,October 6, 2021,Cheap,Excellent
La Barra del 7 Portes,"Reina Cristina 11 junto Plaza Pla de Palau, 08003 Barcelona Spain",Port Vell (Old Port),"Mediterranean, Catalan, Spanish",14.87 - 29.73,"Fri - Sun : 1:00 PM - 5:00 PM
Fri - Sat : 7:00 PM - 11:00 PM",4.0,23,"January 12, 2022","2,440",14.87,29.73,January 12, 2022,Average,Excellent
L'Antic del Born,"Placa Comercial, 11, 08003 Barcelona Spain",El Born / La Ribera,"Fusion, Healthy, Mediterranean, Wine Bar",14.87 - 34.69,"Sun : 12:00 PM - 5:00 PM
Mon - Wed : 5:00 PM - 1:00 AM
Thu : 5:00 PM - 2:00 AM
Fri : 5:00 PM - 12:00 AM
Sat : 12:00 AM - 11:59 PM",3.5,57,"November 18, 2018","2,346",14.87,34.69,November 18, 2018,Average,Average
Bopan Rambla,"Rambla Catalunya 119, 08008 Barcelona Spain",Eixample,"Cafe, Mediterranean, European, Spanish",10.64 - 22.16,Sun - Sat : 8:00 AM - 10:00 PM,3.0,231,"June 1, 2020","7,969",10.64,22.16,June 1, 2020,Cheap,Average
"""Casa 22","Calle Navas 22 22, 18009 Granada Spain", Royal Chapel of Granada,"Steakhouse, Mediterranean, Spanish",17.73 - 31.03,"Tue : 12:00 PM - 4:00 PM
Thu - Mon : 12:00 PM - 11:30 PM",4.5,27,"November 11, 2021",28,17.73,31.03,November 11, 2021,Average,Excellent
Oteiza Coffee Inc.,"Calle del Arco de las Cucharas 4, 18001 Granada Spain",Centro - Sagrario,"Cafe, Healthy",1.98 - 19.82,Sun - Sat : 9:00 AM - 8:00 PM,4.5,17,"March 24, 2021",44,1.98,19.82,March 24, 2021,Cheap,Excellent
Hosteria El Vizio,"Calle Eugenia Vines 105, 46011, Valencia Spain",El Cabanyal-El Canyamelar,"Italian, Mediterranean, European",5.32 - 11.53,Sun - Sat : 9:00 AM - 2:00 AM,3.0,163,"March 9, 2020",357,5.32,11.53,March 9, 2020,Cheap,Average
Cafès Illes Balears,"Calle d'Andreu Bibiloni 14, 07198 Palma de Mallorca, Majorca Spain", Placa Major,Spanish,6.94 - 9.91,Mon - Fri : 6:00 AM - 6:00 PM,5.0,1 review,"September 5, 2021","1,477",6.94,9.91,September 5, 2021,Cheap,Excellent
Feel Juice,"Calle Castelar 14, 07800, Ibiza Spain", Castell de Eivissa,French,1.98 - 7.93,Sun - Sat : 10:00 AM - 1:00 AM,5.0,18,"September 20, 2017",5,1.98,7.93,September 20, 2017,Cheap,Excellent
Rumbo Bar & Eatery,"Pau Claris, 122, 08009 Barcelona Spain",Eixample,"Spanish, Cafe, Healthy, Wine Bar, Street Food",14.87 - 59.47,Sun - Sat : 1:00 PM - 11:30 PM,3.5,5,"October 23, 2019",788,14.87,59.47,October 23, 2019,Average,Average
Milanesa Barcelona,"Carrer de Tordera 30 Placa Raspall, Gracia, 08012 Barcelona Spain",Gracia,"Italian, Mediterranean, Argentinean, South American",9.91 - 24.78,Sun - Sat : 7:00 PM - 11:45 PM,5.0,3,"October 30, 2020","5,858",9.91,24.78,October 30, 2020,Cheap,Excellent
Kriti,"Passatge Sert 6, local 1, 08003 Barcelona, 08003 Barcelona Spain",El Born / La Ribera,"Cafe, Fusion, Catalan, Fruit parlours, Medicinal foods",7.93 - 19.82,Tue - Fri : 10:00 AM - 7:30 PM,5.0,4,"July 18, 2021","4,925",7.93,19.82,July 18, 2021,Cheap,Excellent
Restaurante San Miguel,"Carrer de Sant Miquel, 13, 46003, Valencia Spain",El Carme,European,5.32 - 88.65,Sun - Sat : 10:00 AM - 1:00 AM,2.5,324,"October 19, 2021",610,5.32,88.65,October 19, 2021,Cheap,Poor
BLEND VLC,"Avenida Puerto 129, 46022, Valencia Spain", Oceanografic Valencia,Spanish,7.93 - 17.84,"Sun : 10:00 AM - 5:00 PM
Mon - Thu : 10:00 AM - 1:30 AM
Fri - Sat : 10:00 AM - 2:00 AM",2.5,2,"August 24, 2014","1,746",7.93,17.84,August 24, 2014,Cheap,Poor
Lamburguesa (Ciencias),"Avenida Baleares 71, 46023, Valencia Spain", Oceanografic Valencia,American,10.9 - 19.82,"Sun - Thu : 8:15 PM - 11:30 PM
Sun - Sat : 1:00 PM - 3:45 PM
Fri : 12:00 AM - 12:30 AM,  8:15 PM - 12:30 AM
Sat : 8:15 PM - 12:00 AM",3.0,10,"December 4, 2021","3,100",10.9,19.82,December 4, 2021,Cheap,Average
Le Coq Fin,"Calle de Luis Braille 5 junto Calle Recogidas, 18005 Granada Spain",Figares,French,14.87 - 59.47,"Tue - Sat : 1:00 PM - 4:00 PM,  8:30 PM - 11:30 PM",4.5,12,"March 23, 2019",14,14.87,59.47,March 23, 2019,Average,Excellent
Restaurante Yanay,"Calle Alhamar 24, 18005 Granada Spain", Royal Chapel of Granada,"Peruvian, Mediterranean, South American",7.98 - 14.19,Wed - Mon : 12:00 PM - 12:00 AM,5.0,5,"December 15, 2021",2,7.98,14.19,December 15, 2021,Cheap,Excellent
Restaurante Camaura,"Camino Purchil 42, 18004 Granada Spain",Camino de Ronda,"Spanish, Mediterranean",19.82 - 29.73,"Mon - Thu : 7:00 PM - 11:59 PM
Fri - Sun : 1:30 PM - 11:59 PM",4.0,169,"December 12, 2021",306,19.82,29.73,December 12, 2021,Average,Excellent
Kroketeria de Tia Petra,"Calle de la Cruz nº 2 Corner with Puentezuelas street, 18002 Granada Spain",Centro - Sagrario,Spanish,4.96 - 14.87,"Mon - Fri : 11:00 AM - 9:30 PM
Sat : 11:00 AM - 3:00 PM",5.0,9,"May 31, 2019",502,4.96,14.87,May 31, 2019,Cheap,Excellent
Coffee & Brunch Barcelona,"Av Sarria 37, 08029 Barcelona Spain",Eixample,"Italian, Spanish",4.96 - 18.84,Mon - Fri : 7:00 AM - 8:00 PM,5.0,12,"April 24, 2016",228,4.96,18.84,April 24, 2016,Cheap,Excellent
Las Muns P. Sant Joan,"Passeig Sant Joan 52, 08009 Barcelona Spain",Eixample,"Spanish, Street Food, Fast Food, International, South American",1.98 - 9.91,"Mon - Wed : 11:30 AM - 11:00 PM
Thu : 11:00 AM - 11:30 PM
Fri - Sun : 10:00 AM - 11:00 PM",4.5,7,"September 6, 2021",256,1.98,9.91,September 6, 2021,Cheap,Excellent
Can Ganassa,"Placa de la Barceloneta 6 Plaza de la Barceloneta 6, 08003 Barcelona Spain",Barceloneta,"Seafood, Mediterranean, European, Spanish, Catalan",11.89 - 29.73,Tue - Sun : 10:30 AM - 11:00 PM,3.0,443,"January 1, 2022",237,11.89,29.73,January 1, 2022,Average,Average
Opium Barcelona,"Paseo Maritimo de la Barceloneta, 34, 08003 Barcelona Spain",Barceloneta,"International, Mediterranean",39.65 - 44.6,Sun - Sat : 12:00 PM - 12:00 AM,3.5,861,"November 18, 2021",194,39.65,44.6,November 18, 2021,Average,Average
Restaurante chino Gran China,"Calle Aragón, 271 Local, 07009 Palma de Mallorca, Majorca Spain", Placa Major,"Chinese, Asian",5.32 - 14.19,"Sun - Sat : 11:30 AM - 4:30 PM,  7:30 PM - 11:45 PM",4.5,13,"December 23, 2019",20,5.32,14.19,December 23, 2019,Cheap,Excellent
Capilla de Gomérez,"Cuesta de Gomerez 13, 18009 Granada Spain",Realejo - San Matias,Spanish,4.96 - 14.87,Thu - Sat : 4:45 PM - 12:00 AM,4.5,8,"October 1, 2019",645,4.96,14.87,October 1, 2019,Cheap,Excellent
Restaurante Villaplana,"Calle Doctor Sanchis Sivera 24, 46008, Valencia Spain",Arrancapins,"Mediterranean, Spanish",8.87 - 35.46,Mon - Sat : 7:30 AM - 12:00 AM,2.5,175,"March 3, 2019","1,598",8.87,35.46,March 3, 2019,Cheap,Poor
D´Platos Menorca,"Calle Obispo Hurtado 19, 18002 Granada Spain",Centro - Sagrario,"Mediterranean, Spanish, Bar, Pub",9.91 - 24.78,Sun - Sat : 8:00 AM - 10:30 PM,3.5,117,"October 7, 2018",102,9.91,24.78,October 7, 2018,Cheap,Average
La Taberna De Torrent,"Torrent de les Flors, 113 A dos 2 minutos de la Plaza Rovira i Trias., 08024 Barcelona Spain",Gracia,"Brew Pub, Spanish, Pub, Bar, Cafe, Mediterranean, Wine Bar",0.01 - 0.18,"Sun : 12:00 PM - 5:00 PM
Tue - Fri : 12:00 PM - 12:00 AM
Sat : 7:00 AM - 12:00 AM",4.0,18,"October 21, 2018",54,0.01,0.18,October 21, 2018,Cheap,Excellent
Bar Cerveceria El Granaino,"Calle Margalida Monlau 40, 07198 Son Ferriol, Majorca Spain", Placa Major,"Spanish, Mediterranean",4.96 - 14.87,"Mon - Thu : 7:30 AM - 12:00 AM
Fri : 7:30 AM - 1:00 AM
Sat - Sun : 8:00 AM - 1:00 AM",3.0,10,"August 23, 2021",2,4.96,14.87,August 23, 2021,Cheap,Average
Namoa,"Carrer de laforja, 95 Local 2, 08021 Barcelona Spain",Sant Gervasi-Galvany,"Cafe, Brazilian, Bar, Healthy, South American",2.98 - 12.88,"Mon - Fri : 8:30 AM - 8:00 PM
Sat : 9:00 AM - 1:00 PM",5.0,8,"August 20, 2019",208,2.98,12.88,August 20, 2019,Cheap,Excellent
Vascobelo V-bar Enric Granados,"Enric Granados 1, 08007 Barcelona Spain",Eixample,"Cafe, American, International, European",1.98 - 10.9,"Sun : 10:00 AM - 6:00 PM
Mon - Sat : 8:30 AM - 10:30 PM",4.5,35,"January 6, 2022",108,1.98,10.9,January 6, 2022,Cheap,Excellent
Colombo Tapas & Cocktails,"Calle Escar, 4 Barceloneta, 08039 Barcelona Spain",Port Vell (Old Port),"Bar, European, Spanish",7.93 - 14.87,Tue - Sun : 9:00 AM - 1:00 AM,3.5,168,"September 24, 2020",508,7.93,14.87,September 24, 2020,Cheap,Average
King Potato,"Moll d'Espanya 5 CC Maremagnum, 2a planta, Espai gusto, 08039 Barcelona Spain",Port Vell (Old Port),Italian,7.93 - 19.82,Sun - Sat : 11:00 AM - 9:00 PM,5.0,4,"March 24, 2020",553,7.93,19.82,March 24, 2020,Cheap,Excellent
Spelta Cafe & Restaurante,"C/ Maignon, 11, 08024 Barcelona Spain",Gracia,"International, Mediterranean, Spanish, Catalan",4.96 - 24.78,"Mon - Fri : 8:00 AM - 8:00 PM
Sat : 9:00 AM - 8:00 PM",3.5,6,"August 23, 2021",340,4.96,24.78,August 23, 2021,Cheap,Average
4 Latas Granados,"Carrer d'Enric Granados, 56,, 08008 Barcelona Spain",Eixample,"Mediterranean, Spanish, European, Catalan",0.05 - 0.12,"Sun - Wed : 12:00 PM - 12:30 AM
Thu : 12:00 PM - 1:00 AM
Fri - Sat : 12:00 PM - 2:30 AM",3.0,39,"December 8, 2021","8,098",0.05,0.12,December 8, 2021,Cheap,Average
Bar Los Pipos,"Calle de Santa Clotilde 9, 18003 Granada Spain",Camino de Ronda,"Mediterranean, Spanish",5.95 - 29.73,"Mon - Sat : 12:00 PM - 4:30 PM,  8:00 PM - 11:30 PM",4.0,120,"May 6, 2017",321,5.95,29.73,May 6, 2017,Cheap,Excellent
Bella Luna,"Calle de Martinez de La Rosa 23, 18002 Granada Spain",Camino de Ronda,"Italian, Pizza, Diner",4.96 - 14.87,"Mon : 12:30 PM - 4:30 PM
Wed - Mon : 8:00 PM - 12:00 AM
Wed : 12:30 PM - 4:30 PM
Thu : 1:00 PM - 4:30 PM
Fri - Sun : 1:00 PM - 5:00 PM",4.0,63,"October 30, 2021",53,4.96,14.87,October 30, 2021,Cheap,Excellent
Los Balbalos,"Calle Lindaraja Número 1, 18009 Granada Spain",Realejo - San Matias,Mediterranean,5.95 - 23.79,"Tue : 12:00 PM - 12:00 AM
Wed : 12:00 PM - 11:59 PM
Thu : 12:00 PM - 12:00 AM
Fri - Sun : 12:00 AM - 11:59 PM",4.5,3,"September 18, 2019",550,5.95,23.79,September 18, 2019,Cheap,Excellent
Freiduría Santa Mónica,"C/ Poeta Manuel de Góngora, 18008 Granada Spain", Palace of Carlos V,"Mediterranean, Spanish",1.98 - 49.56,"Sun : 1:00 PM - 4:00 PM
Tue - Thu : 1:00 PM - 4:00 PM,  8:30 PM - 11:00 PM
Fri - Sat : 1:00 PM - 4:30 PM,  8:00 PM - 11:00 PM",3.5,19,"January 17, 2020",584,1.98,49.56,January 17, 2020,Cheap,Average
Pizzería Verace,"Calle Prosperidad, 18004 Granada Spain",Camino de Ronda,"Italian, Pizza, Bar",4.96 - 9.91,"Tue - Sun : 8:00 PM - 12:00 AM
Sat - Sun : 1:00 PM - 4:00 PM",5.0,9,"September 23, 2021",574,4.96,9.91,September 23, 2021,Cheap,Excellent
Locos x el Gourmet,"Calle Darrillo de la Magdalena 10 Entre Puentezuelas y Parraga, 18002 Granada Spain",Centro - Sagrario,Spanish,1.98 - 49.56,"Mon - Wed : 5:00 PM - 9:30 PM
Mon - Sat : 9:00 AM - 2:00 PM
Thu : 5:30 PM - 9:30 PM
Fri - Sat : 5:00 PM - 9:30 PM",5.0,7,"June 12, 2021",5,1.98,49.56,June 12, 2021,Cheap,Excellent
The Deli Bar,"Carrer de la Mercé 21, 08002 Barcelona Spain",Barrio Gotico (Barri Gotic),Mediterranean,5.95 - 11.89,"Mon - Thu : 9:00 AM - 11:00 PM
Fri - Sat : 9:00 AM - 11:30 PM",5.0,4,"September 6, 2019","2,765",5.95,11.89,September 6, 2019,Cheap,Excellent
La Macarena Taller de Cocina,"Calle Prudencio Morales 21, 35009 Las Palmas de Gran Canaria, Gran Canaria Spain", Playa de Las Canteras,"Fusion, Mediterranean, European, Spanish, International",9.91 - 24.78,"Mon - Thu : 11:00 AM - 4:30 PM,  7:00 PM - 11:30 PM
Fri - Sun : 11:00 AM - 11:30 PM",4.5,541,"January 25, 2022",64,9.91,24.78,January 25, 2022,Cheap,Excellent
Aire de Mar Restaurant,"Moll de Barcelona S/N, 08039 Barcelona Spain",Port Vell (Old Port),Mediterranean,17.73 - 35.46,"Sun - Sat : 12:30 PM - 3:30 PM,  7:30 PM - 11:00 PM",3.5,9,"June 26, 2016","2,960",17.73,35.46,June 26, 2016,Average,Average
Seis Peniques Bar Restaurant,"Calle Santa Escolastica 2, 18009 Granada Spain",Realejo - San Matias,"Mediterranean, European, Spanish",8.92 - 99.12,Sun - Sat : 12:00 PM - 12:00 AM,3.5,105,"September 24, 2020",500,8.92,99.12,September 24, 2020,Cheap,Average
La Crême Café Gastrobar,"Calle del Doctor Lopez Font n 6 Escalera 4 Planta 1 Local 1 Calle Peatonal, Sin Tráfico, 18004 Granada Spain",Figares,Spanish,5.95 - 13.88,Tue - Sun : 12:00 PM - 10:30 PM,5.0,4,"September 25, 2021",613,5.95,13.88,September 25, 2021,Cheap,Excellent
